cid,drugbank_id,Secondary_Accession_1,Secondary_Accession_2,common_name,cas_number,unii,Synonym_1,Synonym_2,Synonym_3,smiles,number_of_atoms,net_formal_charge,molecular_formula,molecular_composition,molecular_weight,exact_mol_weight,num_h_acceptors_lipinski,num_h_donors_lipinski,num_rotatable_bonds,num_h_acceptors,num_h_donors,alogp,molecular_polar_surface_area
1051,DB00114,1051,,pyridoxal phosphate,54-47-7,2P2N5DI21O,pyridoxal 5-phosphate,PLP,,,16,-2,C8H10NO6P,"C: 0.4245, H: 0.0448, N: 0.0616, O: 0.4301, P: 0.039",247.1252416,247.0567,6,3,6,7,3,-1.476590909,153.8885246
6274,DB00151,CHEMBL1697785,,L-histidine,71-00-1,4U7H3Q10XJ,L-Histidine,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,,C1=C(NC=N1)C[C@@H](C(O)=O)N,11,0,C6H9N3O2,"C: 0.5459, H: 0.0714, N: 0.2414, O: 0.1414",155.1583688,155.0708655,3,2,2,4,3,-1.564444444,94.00074074
1060,DB00119,CHEMBL1162144,,Pyruvic acid,127-17-3,ACI268BWB2,Pyruvate,2-Oxopropanoic acid,alpha-Ketopropionic acid,CC(=O)C(=O)O,6,-1,C3H4O3,"C: 0.3285, H: 0.0555, O: 0.6159",88.06056028,87.99753363,3,1,1,3,1,-0.594898089,50.4159633
6140,DB00120,CHEMBL1615823,,L-phenylalanine,63-91-2,47E5O17Y3R,L-phenylalanine,(S)-alpha-amino-beta-phenylpropionic acid,,C1=CC=CC=C1C[C@@H](C(O)=O)N,12,0,C9H11NO2,"C: 0.6227, H: 0.0769, N: 0.0941, O: 0.2063",165.1888566,165.0732748,2,2,3,3,2,0.731254902,69.3273743
305,DB00122,,,Choline,62-49-7,N91BDP6H0X,2-Hydroxyethyl(trimethyl)ammonium,Bilineurine,,C[N+](C)(C)CCO,7,1,C5H14NO,"C: 0.4529, H: 0.1022, N: 0.1043, O: 0.3407",104.1234188,104.0916041,1,1,2,1,1,-1.744431818,40.39032787
5962,DB00123,CHEMBL28328,,L-lysine,56-87-1,K3Z4F929H6,L-lysine,Lysine,"(2S)-2,6-diaminohexanoic acid",C(CCN)CC(C(=O)O)N,10,0,C6H14N2O2,"C: 0.5131, H: 0.0929, N: 0.1915, O: 0.2025",146.1894737,146.1006852,3,2,5,3,2,-1.528947368,83.93710526
6322,DB00125,CHEMBL212393,,L-arginine,74-79-3,94ZLA3W45F,Arginine,(S)-2-Amino-5-guanidinopentanoic acid,,NC(CCCNC(N)N)C(O)=O,12,1,C6H14N4O2,"C: 0.3274, H: 0.0655, N: 0.2531, O: 0.3541",174.2004815,173.9871973,4,4,5,4,4,-1.384076433,128.8073394
54670067,DB00126,,,Vitamin C,50-81-7,S8004P4GZ5,L-Ascorbic acid,Vitamin C,Ascorbic acid,,12,0,C6H8O6,"C: 0.4019, H: 0.1091, O: 0.489",176.1249727,176.0322567,6,4,1,6,4,-1.784722222,111.3164603
5960,DB00128,,,L-aspartic acid,56-84-8,28XF4669EP,Aspartic acid,L-Aspartic acid,,C(C(C(=O)O)N)C(=O)O,9,0,C4H7NO4,"C: 0.448, H: 0.066, N: 0.133, O: 0.353",133.0983618,133.0310272,3,2,2,4,2,-1.127083333,93.78125
6262,DB00129,,,L-ornithine,70-26-8,61EQ7148WR,"(2S)-2,5-diaminopentanoic acid",L-Ornithine,,[H][C@@](CCC(N)C(O)=O)N,9,0,C5H12N2O2,"C: 0.4799, H: 0.0975, N: 0.2235, O: 0.199",132.1583404,132.0894664,3,2,3,3,2,-1.741592357,93.6940367
